agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;wait
1;0;None;n;waiting;wait
2;0;None;n;waiting;wait
0;1;None;s;ready to depart;move_forward
1;1;None;n;waiting;wait
2;1;None;n;waiting;wait
0;2;(13, 10);s;moving;move_forward
1;2;None;n;ready to depart;move_forward
2;2;None;n;waiting;wait
0;3;(14, 10);s;moving;move_left
1;3;(4, 12);n;moving;move_forward
2;3;None;n;waiting;wait
0;4;(14, 11);e;moving;move_forward
1;4;(3, 12);n;moving;move_forward
2;4;None;n;waiting;wait
0;5;(15, 11);s;moving;move_forward
1;5;(2, 12);n;moving;move_forward
2;5;None;n;waiting;wait
0;6;(16, 11);s;moving;move_forward
1;6;(1, 12);n;moving;move_forward
2;6;None;n;ready to depart;move_forward
0;7;(17, 11);s;moving;move_forward
1;7;(0, 12);n;moving;move_forward
2;7;(13, 10);n;moving;move_forward
0;8;(17, 12);e;moving;move_forward
1;8;(0, 11);w;moving;move_forward
2;8;(12, 10);n;moving;move_right
0;9;(17, 13);e;moving;move_forward
1;9;(0, 10);w;moving;move_forward
2;9;(12, 11);e;moving;move_forward
0;10;(17, 14);e;moving;move_forward
1;10;(0, 9);w;moving;move_forward
2;10;(11, 11);n;moving;move_forward
0;11;(16, 14);n;moving;move_forward
1;11;(0, 8);w;moving;move_forward
2;11;(10, 11);n;moving;move_forward
0;12;(15, 14);n;moving;move_forward
1;12;(1, 8);s;moving;move_forward
2;12;(9, 11);n;moving;wait
0;13;(14, 14);n;moving;move_forward
1;13;(2, 8);s;moving;move_forward
2;13;(9, 11);n;stopped;wait
0;14;(13, 14);n;moving;move_forward
1;14;(3, 8);s;moving;move_forward
2;14;(9, 11);n;stopped;wait
0;15;(12, 14);n;moving;move_forward
1;15;(4, 8);s;moving;move_forward
2;15;(9, 11);n;stopped;wait
0;16;(11, 14);n;moving;move_forward
1;16;(5, 8);s;moving;move_forward
2;16;(9, 11);n;stopped;wait
0;17;(10, 14);n;moving;move_forward
1;17;(6, 8);s;moving;move_forward
2;17;(9, 11);n;stopped;wait
0;18;(9, 14);n;moving;move_forward
1;18;(7, 8);s;moving;move_forward
2;18;(9, 11);n;stopped;wait
0;19;(8, 14);n;moving;move_forward
1;19;(8, 8);s;moving;move_forward
2;19;(9, 11);n;stopped;wait
0;20;(8, 13);w;moving;move_forward
1;20;(8, 9);e;moving;move_forward
2;20;(9, 11);n;stopped;wait
0;21;(8, 12);w;moving;move_forward
1;21;(8, 10);e;moving;wait
2;21;(9, 11);n;stopped;wait
0;22;(7, 12);n;moving;move_forward
1;22;(8, 10);e;stopped;move_forward
2;22;(9, 11);n;stopped;wait
0;23;(6, 12);n;moving;move_right
1;23;(8, 11);e;moving;move_forward
2;23;(9, 11);n;stopped;move_right
0;24;(6, 13);e;moving;move_forward
1;24;(9, 11);s;moving;move_forward
2;24;(9, 12);e;moving;move_forward
0;25;(5, 13);n;moving;move_forward
1;25;(10, 11);s;moving;move_forward
2;25;(8, 12);n;moving;move_forward
1;26;(11, 11);s;moving;move_forward
2;26;(7, 12);n;moving;move_forward
1;27;(12, 11);s;moving;move_forward
2;27;(6, 12);n;moving;move_right
2;28;(6, 13);e;moving;move_forward
2;29;(5, 13);n;moving;move_forward
