agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;wait
1;0;None;w;waiting;wait
0;1;None;w;ready to depart;move_forward
1;1;None;w;waiting;wait
0;2;(5, 5);w;moving;move_forward
1;2;None;w;ready to depart;move_forward
0;3;(5, 4);w;moving;move_forward
1;3;(15, 5);w;moving;move_forward
0;4;(5, 3);w;moving;move_forward
1;4;(15, 4);w;moving;move_forward
0;5;(5, 2);w;moving;move_forward
1;5;(15, 3);w;moving;move_forward
0;6;(5, 1);w;moving;move_forward
1;6;(15, 2);w;moving;move_forward
0;7;(5, 0);w;moving;move_forward
1;7;(15, 1);w;moving;move_forward
0;8;(6, 0);s;moving;move_forward
1;8;(14, 1);n;moving;move_forward
0;9;(7, 0);s;moving;move_forward
1;9;(13, 1);n;moving;wait
0;10;(8, 0);s;moving;move_forward
1;10;(13, 1);n;stopped;wait
0;11;(9, 0);s;moving;move_forward
1;11;(13, 1);n;stopped;wait
0;12;(10, 0);s;moving;wait
1;12;(13, 1);n;stopped;wait
0;13;(10, 0);s;stopped;wait
1;13;(13, 1);n;stopped;wait
0;14;(10, 0);s;stopped;wait
1;14;(13, 1);n;stopped;move_forward
0;15;(10, 0);s;stopped;wait
1;15;(12, 1);n;moving;move_forward
0;16;(10, 0);s;stopped;wait
1;16;(11, 1);n;moving;move_forward
0;17;(10, 0);s;stopped;move_forward
1;17;(10, 1);n;moving;move_forward
0;18;(10, 1);e;moving;move_forward
1;18;(9, 1);n;moving;move_forward
0;19;(11, 1);s;moving;move_forward
1;19;(8, 1);n;moving;move_forward
0;20;(12, 1);s;moving;move_forward
1;20;(7, 1);n;moving;move_forward
0;21;(13, 1);s;moving;move_forward
1;21;(6, 1);n;moving;move_forward
0;22;(14, 1);s;moving;move_forward
1;22;(5, 1);n;moving;move_forward
0;23;(15, 1);s;moving;move_forward
1;23;(5, 2);e;moving;move_forward
0;24;(15, 2);e;moving;move_forward
1;24;(5, 3);e;moving;move_right
0;25;(15, 3);e;moving;move_right
1;25;(6, 3);s;moving;move_forward
0;26;(16, 3);s;moving;move_forward
1;26;(6, 4);e;moving;move_forward
0;27;(16, 4);e;moving;move_forward
