agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;wait
1;0;None;w;waiting;wait
0;1;None;w;ready to depart;move_forward
1;1;None;w;waiting;wait
0;2;(5, 5);w;moving;move_forward
1;2;None;w;ready to depart;move_forward
0;3;(5, 4);w;moving;move_forward
1;3;(15, 5);w;moving;move_forward
0;4;(5, 3);w;moving;move_forward
1;4;(15, 4);w;moving;move_forward
0;5;(5, 2);w;moving;move_forward
1;5;(15, 3);w;moving;move_forward
0;6;(5, 1);w;moving;move_forward
1;6;(15, 2);w;moving;move_forward
0;7;(5, 0);w;moving;move_forward
1;7;(15, 1);w;moving;move_forward
0;8;(6, 0);s;moving;move_forward
1;8;(14, 1);n;moving;move_forward
0;9;(7, 0);s;moving;move_forward
1;9;(13, 1);n;moving;move_forward
0;10;(8, 0);s;moving;move_forward
1;10;(12, 1);n;moving;move_forward
0;11;(9, 0);s;moving;move_forward
1;11;(11, 1);n;moving;move_forward
0;12;(10, 0);s;moving;move_forward
1;12;(10, 1);n;moving;move_forward
0;13;(10, 1);e;moving;move_forward
1;13;(9, 1);n;moving;move_forward
0;14;(11, 1);s;moving;move_forward
1;14;(8, 1);n;moving;move_forward
0;15;(12, 1);s;moving;move_forward
1;15;(7, 1);n;moving;move_forward
0;16;(13, 1);s;moving;move_forward
1;16;(6, 1);n;moving;move_forward
0;17;(14, 1);s;moving;move_forward
1;17;(5, 1);n;moving;move_forward
0;18;(15, 1);s;moving;move_forward
1;18;(5, 2);e;moving;move_forward
0;19;(15, 2);e;moving;move_forward
1;19;(5, 3);e;moving;move_right
0;20;(15, 3);e;moving;move_right
1;20;(6, 3);s;moving;move_forward
0;21;(16, 3);s;moving;move_forward
1;21;(6, 4);e;moving;move_forward
0;22;(16, 4);e;moving;move_forward
